Ubicazione Prevalente,Tipologia Impianto,Asset / Apparecchiatura,QuantitÃ  Totale,Frequenza Manutentiva,FM,Riferimento Normativo,Note di Verifica / Prescrizioni,Data Ultimo Intervento,Data Scadenza
Via A. Doria 52,ANTINCENDIO,Estintori,54,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
Via A. Doria 52,ANTINCENDIO,Porte Tagliafuoco / REI,90,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
Via A. Doria 52,ANTINCENDIO,Idranti / Naspi,21,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
Via A. Doria 52,ANTINCENDIO,Rilevazione Fumi,4055 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
Via A. Doria 52,ANTINCENDIO,Illum. Emergenza,1374 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
Via A. Doria 52,ANTINCENDIO,Centrale Pressurizzazione,0,Settimanale / Mensile,1,UNI EN 12845,Avviamento pompe,,
Via A. Doria 52,ELETTRICI,Quadri e Distribuzione,4075 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
Via A. Doria 52,ELETTRICI,Locali Uso Medico (G1/G2),43,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
Via A. Doria 52,ELETTRICI,Impianto Terra / Scariche,4075 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
Via A. Doria 52,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
Via A. Doria 52,ELEVATORI,Elevatori (1-5 piani),1,Mensile / Semestrale,1,DPR 162/99,Verifica sicurezze.,,
Via A. Doria 52,ELEVATORI,Elevatori (6-10 piani),3,Mensile / Semestrale,1,DPR 162/99,Lubrificazione organi.,,
Via A. Doria 52,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via A. Doria 52,MECCANICI,Caldaie (36-350 kW),2,Mensile/Trimestrale,1,DPR 74/13,Analisi combustione.,,
Via A. Doria 52,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via A. Doria 52,MECCANICI,Gruppi Frigo / Chiller,1,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via A. Doria 52,MECCANICI,UTA (Trattamento Aria),1,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via A. Doria 52,MECCANICI,Addolcitori,1,Settimanale/Mensile,1,DM 25/12,Verifica durezza.,,
Via A. Doria 52,MECCANICI,Produttori Biossido Cloro,1,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via A. Doria 52,MECCANICI,Pompe Sollevamento,1,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via A. Doria 52,MECCANICI,Distribuzione impianti idronici e sottocentrali,4075 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via A. Doria 52,MECCANICI,Ventilconvettori,0,Annuale,12,Linee Guida,Pulizia filtri,,
Via A. Doria 52,MECCANICI,Condizionatori tipo split/VRV/carrellabili,4,Annuale,12,Linee Guida,Sanificazione,,
Via A. Doria 52,MECCANICI,"Canali di distribuzione, ripresa, serrande",3715 m2,Annuale,12,Linee Guida,Pulizia condotte,,
Via A. Doria 52,MECCANICI,Distribuzione idrico sanitaria,4075 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via A. Doria 52,MECCANICI,Centrali idriche (Vasche),1,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via A. Doria 52,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via A. Doria 52,EDILE,Cancelli e sbarre motorizzati,1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via A. Doria 52,EDILE,Porte automatiche e portoni sezionali,2,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Don Orione 2,ANTINCENDIO,Estintori,35,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
Via Don Orione 2,ANTINCENDIO,Porte Tagliafuoco / REI,36,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
Via Don Orione 2,ANTINCENDIO,Idranti / Naspi,22,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
Via Don Orione 2,ANTINCENDIO,Rilevazione Fumi,2882 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
Via Don Orione 2,ANTINCENDIO,Illum. Emergenza,1133 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
Via Don Orione 2,ANTINCENDIO,Centrale Pressurizzazione,0,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
Via Don Orione 2,ELETTRICI,Quadri e Distribuzione,2967 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
Via Don Orione 2,ELETTRICI,Locali Uso Medico (G1/G2),23,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
Via Don Orione 2,ELETTRICI,Impianto Terra / Scariche,2967 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
Via Don Orione 2,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
Via Don Orione 2,ELEVATORI,Elevatori (1-5 piani),2,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
Via Don Orione 2,ELEVATORI,Elevatori (6-10 piani),0,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
Via Don Orione 2,ELEVATORI,Servoscala,1,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via Don Orione 2,MECCANICI,Caldaie (36-350 kW),4,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
Via Don Orione 2,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via Don Orione 2,MECCANICI,Gruppi Frigo / Chiller,2,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via Don Orione 2,MECCANICI,UTA (Trattamento Aria),2,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via Don Orione 2,MECCANICI,Addolcitori,1,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
Via Don Orione 2,MECCANICI,Produttori Biossido Cloro,1,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via Don Orione 2,MECCANICI,Pompe Sollevamento,1,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via Don Orione 2,MECCANICI,Distribuzione impianti idronici e sottocentrali,2967 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via Don Orione 2,MECCANICI,Ventilconvettori,0,Annuale,12,Linee Guida,Pulizia filtri,,
Via Don Orione 2,MECCANICI,Condizionatori tipo split/VRV/carrellabili,0,Annuale,12,Linee Guida,Sanificazione,,
Via Don Orione 2,MECCANICI,"Canali di distribuzione, ripresa, serrande",2412 m2,Annuale,12,Linee Guida,Pulizia condotte,,
Via Don Orione 2,MECCANICI,Distribuzione idrico sanitaria,2967 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via Don Orione 2,MECCANICI,Centrali idriche (Vasche),0,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via Don Orione 2,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via Don Orione 2,EDILE,Cancelli e sbarre motorizzati,0,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Don Orione 2,EDILE,Porte automatiche e portoni sezionali,1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Farini 9,ANTINCENDIO,Estintori,65,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
Via Farini 9,ANTINCENDIO,Porte Tagliafuoco / REI,59,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
Via Farini 9,ANTINCENDIO,Idranti / Naspi,18,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
Via Farini 9,ANTINCENDIO,Rilevazione Fumi,5580 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
Via Farini 9,ANTINCENDIO,Illum. Emergenza,1399 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
Via Farini 9,ANTINCENDIO,Centrale Pressurizzazione,0,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
Via Farini 9,ELETTRICI,Quadri e Distribuzione,5958 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
Via Farini 9,ELETTRICI,Locali Uso Medico (G1/G2),32,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
Via Farini 9,ELETTRICI,Impianto Terra / Scariche,5958 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
Via Farini 9,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
Via Farini 9,ELEVATORI,Elevatori (1-5 piani),3,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
Via Farini 9,ELEVATORI,Elevatori (6-10 piani),1,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
Via Farini 9,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via Farini 9,MECCANICI,Caldaie (36-350 kW),0,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
Via Farini 9,MECCANICI,Caldaie (>350 kW),2,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via Farini 9,MECCANICI,Gruppi Frigo / Chiller,1,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via Farini 9,MECCANICI,UTA (Trattamento Aria),1,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via Farini 9,MECCANICI,Addolcitori,1,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
Via Farini 9,MECCANICI,Produttori Biossido Cloro,1,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via Farini 9,MECCANICI,Pompe Sollevamento,0,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via Farini 9,MECCANICI,Distribuzione impianti idronici e sottocentrali,5958 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via Farini 9,MECCANICI,Ventilconvettori,0,Annuale,12,Linee Guida,Pulizia filtri,,
Via Farini 9,MECCANICI,Condizionatori tipo split/VRV/carrellabili,11,Annuale,12,Linee Guida,Sanificazione,,
Via Farini 9,MECCANICI,"Canali di distribuzione, ripresa, serrande",2410 m2,Annuale,12,Linee Guida,Pulizia condotte,,
Via Farini 9,MECCANICI,Distribuzione idrico sanitaria,5958 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via Farini 9,MECCANICI,Centrali idriche (Vasche),1,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via Farini 9,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via Farini 9,EDILE,Cancelli e sbarre motorizzati,1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Farini 9,EDILE,Porte automatiche e portoni sezionali,0,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Rugabella 4/6,ANTINCENDIO,Estintori,58,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
Via Rugabella 4/6,ANTINCENDIO,Porte Tagliafuoco / REI,43,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
Via Rugabella 4/6,ANTINCENDIO,Idranti / Naspi,26,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
Via Rugabella 4/6,ANTINCENDIO,Rilevazione Fumi,4068 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
Via Rugabella 4/6,ANTINCENDIO,Illum. Emergenza,1470 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
Via Rugabella 4/6,ANTINCENDIO,Centrale Pressurizzazione,1,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
Via Rugabella 4/6,ELETTRICI,Quadri e Distribuzione,4088 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
Via Rugabella 4/6,ELETTRICI,Locali Uso Medico (G1/G2),22,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
Via Rugabella 4/6,ELETTRICI,Impianto Terra / Scariche,4088 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
Via Rugabella 4/6,ELETTRICI,Rifasatori,1,Semestrale,6,Norme CEI,Misura del Cos,,
Via Rugabella 4/6,ELEVATORI,Elevatori (1-5 piani),0,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
Via Rugabella 4/6,ELEVATORI,Elevatori (6-10 piani),2,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
Via Rugabella 4/6,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via Rugabella 4/6,MECCANICI,Caldaie (36-350 kW),4,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
Via Rugabella 4/6,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via Rugabella 4/6,MECCANICI,Gruppi Frigo / Chiller,1,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via Rugabella 4/6,MECCANICI,UTA (Trattamento Aria),3,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via Rugabella 4/6,MECCANICI,Addolcitori,2,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
Via Rugabella 4/6,MECCANICI,Produttori Biossido Cloro,1,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via Rugabella 4/6,MECCANICI,Pompe Sollevamento,2,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via Rugabella 4/6,MECCANICI,Distribuzione impianti idronici e sottocentrali,4088 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via Rugabella 4/6,MECCANICI,Ventilconvettori,10,Annuale,12,Linee Guida,Pulizia filtri,,
Via Rugabella 4/6,MECCANICI,Condizionatori tipo split/VRV/carrellabili,5,Annuale,12,Linee Guida,Sanificazione,,
Via Rugabella 4/6,MECCANICI,"Canali di distribuzione, ripresa, serrande",3312 m2,Annuale,12,Linee Guida,Pulizia condotte,,
Via Rugabella 4/6,MECCANICI,Distribuzione idrico sanitaria,4088 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via Rugabella 4/6,MECCANICI,Centrali idriche (Vasche),1,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via Rugabella 4/6,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via Rugabella 4/6,EDILE,Cancelli e sbarre motorizzati,1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via Rugabella 4/6,EDILE,Porte automatiche e portoni sezionali,0,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via A. Sassi 4,ANTINCENDIO,Estintori,7,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
Via A. Sassi 4,ANTINCENDIO,Porte Tagliafuoco / REI,2,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
Via A. Sassi 4,ANTINCENDIO,Idranti / Naspi,0,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
Via A. Sassi 4,ANTINCENDIO,Rilevazione Fumi,520 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
Via A. Sassi 4,ANTINCENDIO,Illum. Emergenza,158 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
Via A. Sassi 4,ANTINCENDIO,Centrale Pressurizzazione,0,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
Via A. Sassi 4,ELETTRICI,Quadri e Distribuzione,523 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
Via A. Sassi 4,ELETTRICI,Locali Uso Medico (G1/G2),8,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
Via A. Sassi 4,ELETTRICI,Impianto Terra / Scariche,523 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
Via A. Sassi 4,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
Via A. Sassi 4,ELEVATORI,Elevatori (1-5 piani),2,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
Via A. Sassi 4,ELEVATORI,Elevatori (6-10 piani),0,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
Via A. Sassi 4,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
Via A. Sassi 4,MECCANICI,Caldaie (36-350 kW),1,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
Via A. Sassi 4,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
Via A. Sassi 4,MECCANICI,Gruppi Frigo / Chiller,0,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
Via A. Sassi 4,MECCANICI,UTA (Trattamento Aria),0,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
Via A. Sassi 4,MECCANICI,Addolcitori,0,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
Via A. Sassi 4,MECCANICI,Produttori Biossido Cloro,1,Settimanale,,Linee Guida,Dosaggio continuo.,,
Via A. Sassi 4,MECCANICI,Pompe Sollevamento,1,Mensile,1,D.Lgs 81/08,Verifica galleggianti.,,
Via A. Sassi 4,MECCANICI,Distribuzione impianti idronici e sottocentrali,523 m2,Annuale,12,Norme Tecniche,Manutenzione,,
Via A. Sassi 4,MECCANICI,Ventilconvettori,0,Annuale,12,Linee Guida,Pulizia filtri,,
Via A. Sassi 4,MECCANICI,Condizionatori tipo split/VRV/carrellabili,6,Annuale,12,Linee Guida,Sanificazione,,
Via A. Sassi 4,MECCANICI,"Canali di distribuzione, ripresa, serrande",0,Annuale,12,Linee Guida,Pulizia condotte,,
Via A. Sassi 4,MECCANICI,Distribuzione idrico sanitaria,523 m2,Annuale,12,D.Lgs 31/01,Verifiche perdite,,
Via A. Sassi 4,MECCANICI,Centrali idriche (Vasche),0,Mensile,1,D.Lgs 31/01,Controllo vasche,,
Via A. Sassi 4,MECCANICI,Prove della legionella della rete idrico-sanitaria,3,Annuale,12,Linee Guida,Prelievi,,
Via A. Sassi 4,EDILE,Cancelli e sbarre motorizzati,1,Semestrale,6,D.Lgs 81/08,Sicurezze,,
Via A. Sassi 4,EDILE,Porte automatiche e portoni sezionali,0,Semestrale,6,D.Lgs 81/08,Sicurezze,,
^Via Sassi 4 P.ssa Jolanda,ANTINCENDIO,Estintori,40,Semestrale,6,"UNI 9994-1, DPR 151/11","Verificare pressione, carica e integritÃ .",,
^Via Sassi 4 P.ssa Jolanda,ANTINCENDIO,Porte Tagliafuoco / REI,0,Semestrale,6,DM 10/03/98,Verifica integritÃ  guarnizioni.,,
^Via Sassi 4 P.ssa Jolanda,ANTINCENDIO,Idranti / Naspi,0,Semestrale,6,UNI 10779,Prova di portata e pressione.,,
^Via Sassi 4 P.ssa Jolanda,ANTINCENDIO,Rilevazione Fumi,4650 m2,Semestrale,6,UNI 11224,Test dei rilevatori.,,
^Via Sassi 4 P.ssa Jolanda,ANTINCENDIO,Illum. Emergenza,4650 m2,Semestrale,6,UNI EN 1838,Test di autonomia.,,
^Via Sassi 4 P.ssa Jolanda,ANTINCENDIO,Centrale Pressurizzazione,0,Settimanale / Mensile,,UNI EN 12845,Avviamento pompe,,
^Via Sassi 4 P.ssa Jolanda,ELETTRICI,Quadri e Distribuzione,4650 m2,Annuale,12,CEI 64-8,Pulizia carpenteria.,,
^Via Sassi 4 P.ssa Jolanda,ELETTRICI,Locali Uso Medico (G1/G2),34,Annuale/Semestrale,,CEI 64-8/7-710,Prova differenziali.,,
^Via Sassi 4 P.ssa Jolanda,ELETTRICI,Impianto Terra / Scariche,4650 m2,Biennale,24,DPR 462/01,Misura resistenza terra.,,
^Via Sassi 4 P.ssa Jolanda,ELETTRICI,Rifasatori,0,Semestrale,6,Norme CEI,Misura del Cos,,
^Via Sassi 4 P.ssa Jolanda,ELEVATORI,Elevatori (1-5 piani),3,Mensile / Semestrale,,DPR 162/99,Verifica sicurezze.,,
^Via Sassi 4 P.ssa Jolanda,ELEVATORI,Elevatori (6-10 piani),0,Mensile / Semestrale,,DPR 162/99,Lubrificazione organi.,,
^Via Sassi 4 P.ssa Jolanda,ELEVATORI,Servoscala,0,Semestrale,6,DPR 162/99,Verifica dispositivi.,,
^Via Sassi 4 P.ssa Jolanda,MECCANICI,Caldaie (36-350 kW),0,Mensile/Trimestrale,,DPR 74/13,Analisi combustione.,,
^Via Sassi 4 P.ssa Jolanda,MECCANICI,Caldaie (>350 kW),0,Settimanale,6,DPR 74/13,Controllo pressione.,,
^Via Sassi 4 P.ssa Jolanda,MECCANICI,Gruppi Frigo / Chiller,0,Mensile / Trimestrale,,Reg. (UE) 517,Ricerca perdite.,,
^Via Sassi 4 P.ssa Jolanda,MECCANICI,UTA (Trattamento Aria),0,Trimestrale,3,Linee Guida,Sostituzione filtri.,,
^Via Sassi 4 P.ssa Jolanda,MECCANICI,Addolcitori,0,Settimanale/Mensile,,DM 25/12,Verifica durezza.,,
